,suicides_per_100k
2105,6.751055
14408,2.9405086
11221,2.0718231
2833,8.744517
5697,13.929864
15784,1.7327378
5745,16.708443
8795,2.1431968
8178,3.0814598
2062,1.5809908
3040,3.6555974
33,1.754817
11840,11.2493305
16944,21.58974
213,0.0
11563,20.026522
12975,0.0
1103,13.930537
909,1.8549747
20146,14.364077
6784,19.4065
12856,4.543382
19559,8.435456
8218,3.7103686
18566,6.426954
1936,3.6854072
7101,20.577295
17603,7.963884
7508,2.7219014
18506,5.8536735
3156,4.288088
15689,2.1340215
6303,6.758173
1550,18.293848
20165,11.115032
18176,20.829702
4060,11.184106
1629,16.109776
14644,1.2967422
12885,4.5883923
6918,4.8948574
4570,5.746925
5906,13.029953
7057,20.033117
19274,2.7217767
11331,2.2556908
16273,19.703684
11704,17.331451
10269,8.302214
14754,2.2865503
14412,2.9405086
10267,8.302214
6116,5.481618
6806,5.00376
15845,10.070836
7577,3.1207988
1945,3.7820911
7293,18.654373
19630,7.4963856
4991,18.458773
14355,2.78072
4689,8.395811
1220,13.376665
1230,13.376665
8875,3.1495059
17217,7.5295467
11147,7.317644
9176,26.161432
1113,14.289194
19682,7.428202
11966,1.6364684
502,7.3562016
11707,15.115905
1531,20.213032
2882,4.897559
17425,7.243891
4827,6.0858274
4959,18.31781
1929,4.9103107
16818,29.461273
18226,18.388765
18347,6.8511224
13596,13.517673
14643,1.4899201
16909,22.610622
11340,2.254412
16958,0.26993245
13962,10.979386
10044,6.831852
10851,24.281073
282,0.0
10775,26.480335
2718,1.8987342
3851,12.180094
17049,0.890576
14958,16.620218
5719,15.102653
1708,2.1301625
14874,15.026225
12211,6.7082753
18571,6.599621
6432,11.65821
14814,15.018518
948,2.4545217
17563,12.966174
4650,6.7678137
12469,12.132381
2937,5.2854867
1420,23.849657
7116,20.50645
19546,8.66913
1846,1.6809132
11111,15.415209
1972,5.5883837
19721,7.123868
20091,13.327582
6331,4.8098087
16360,6.501612
4520,5.241577
17536,22.440752
4999,16.75806
2974,5.5575895
9305,11.033919
