,country,year,sex,age,generation,incomelevel,depression,alcohol
2572,10,2003,1,3,4,0,3.90036,1.473649
10818,42,2007,0,1,2,0,3.094048,0.562141
9540,37,2015,0,4,0,0,3.360755,1.231484
8893,34,2013,0,4,0,2,3.28505,2.696392
12866,51,2008,0,5,5,2,2.776403,1.711196
17100,71,2008,1,3,3,2,3.725575,1.630654
4239,17,1991,0,4,5,2,2.280578,1.425829
11060,43,2014,0,4,0,2,3.519001,3.55546
19437,81,2012,1,2,2,1,4.13143,4.955689
16844,70,2006,0,4,5,0,3.112146,2.211551
12349,50,1992,0,2,0,2,3.653775,1.313857
3177,13,2002,1,0,4,2,4.110734,2.705432
9043,35,2002,0,2,0,2,4.085056,2.001931
18908,79,2010,0,2,2,2,3.77003,0.770705
10695,42,1996,1,2,0,0,3.051899,0.562704
15179,63,1997,1,3,4,0,4.667101,1.217821
13721,56,2013,1,4,0,1,2.85807,2.072441
19485,82,2006,1,4,5,0,2.954305,0.75826
8432,33,2002,0,1,2,2,2.805102,1.648756
6552,25,2007,1,2,0,1,3.043548,2.856143
8771,34,2003,0,4,5,2,3.487568,2.873611
11397,45,2008,1,5,5,0,3.54323,0.681294
9810,38,2010,1,3,3,0,4.344662,2.133863
5449,21,2012,1,5,5,0,3.280645,1.113191
1392,4,2015,1,0,4,0,4.696774,1.510434
2200,8,2002,1,1,2,0,2.716531,1.577273
19244,80,2012,0,3,3,2,2.822861,2.840319
10399,40,2009,1,5,5,0,3.447503,0.465679
10499,41,1991,0,3,4,2,2.568978,1.368381
13122,54,1994,1,5,1,0,4.204405,0.800726
140,0,2003,0,2,0,2,2.216283,1.685102
18548,77,2010,1,4,5,2,3.10254,0.866558
15349,64,1991,1,4,5,0,2.813477,2.097476
10979,43,2005,1,3,4,2,3.560473,3.215712
18317,76,2014,0,3,3,0,3.731711,1.3792
20028,84,2005,1,5,5,0,4.791258,2.070251
16088,66,2011,0,3,3,2,2.331149,1.719628
17777,74,2014,0,3,3,2,4.014569,1.768336
13793,57,1993,1,2,0,0,3.97098,1.763233
15430,64,1997,0,3,4,0,2.818784,2.078846
2158,8,1995,1,2,0,0,2.70989,1.55579
18205,76,2004,0,0,4,0,3.931354,1.433958
17656,74,2002,1,1,2,2,3.889723,1.736119
606,2,1999,0,0,2,2,3.652057,2.266152
7677,30,2011,0,3,3,2,2.786203,2.040247
5931,23,2006,1,1,2,0,3.334813,1.778207
6438,25,1997,0,2,0,1,3.152221,3.194417
13182,54,1999,1,5,1,0,4.121637,0.812405
16339,67,2015,1,3,3,2,2.577638,2.027863
12661,51,1991,0,4,5,2,2.656295,1.737171
20330,85,2007,0,0,4,0,3.494911,1.059836
7383,29,2007,0,1,2,0,4.260417,1.469029
18405,77,1997,1,5,1,2,3.064761,0.914241
2726,11,1991,0,0,2,1,2.725553,1.57284
16679,69,2005,1,2,0,0,3.494622,0.468378
12495,50,2004,0,4,5,2,3.639739,1.212784
1475,5,1997,1,0,2,0,3.581562,1.803538
12707,51,1995,0,2,0,2,2.710117,1.6676
11048,43,2013,0,2,2,2,3.520886,3.583238
20586,86,2004,0,1,2,1,2.924568,2.270934
1371,4,2013,0,0,4,0,4.759686,1.506864
19462,81,2015,0,5,5,1,4.090187,4.826954
12126,49,1999,1,3,4,0,3.402344,1.053937
8136,32,1999,1,0,2,0,4.189615,1.074382
14575,60,2011,1,2,2,2,2.929236,2.314594
12407,50,1997,1,0,2,2,3.672637,1.268984
5787,22,2016,1,2,2,0,2.679913,2.111766
7984,31,2012,0,1,4,0,3.930375,2.042078
14365,60,1991,0,3,4,2,2.785556,2.169006
3532,14,2007,0,4,5,2,2.590202,1.795127
13059,53,2008,0,1,2,2,2.587327,1.825525
5746,22,2012,0,4,0,0,2.701576,2.135204
1851,6,2003,1,1,2,2,2.548794,2.155136
18991,80,1991,0,1,0,2,2.917043,2.379246
14464,60,2002,1,0,4,2,2.854846,2.215729
7016,28,2001,0,5,5,0,5.298701,2.869149
17272,72,1997,0,5,1,0,3.563349,0.825072
5968,23,2009,1,1,2,0,3.283858,1.798877
9914,39,1994,0,1,0,0,4.15013,0.547462
9874,39,1991,1,2,0,0,4.053225,0.547293
16341,68,2001,1,1,2,0,2.955657,0.853448
14619,60,2014,0,5,5,2,2.946082,2.347036
