,sex,age,generation,incomelevel,depression,alcohol
8286,0,3,3,0,4.308968,1.136072
17515,0,1,2,1,3.591254,1.1022
6778,1,3,3,0,3.926684,4.958878
6911,1,4,0,2,3.1808,1.098757
19864,1,4,5,0,4.660871,2.139292
7830,1,1,2,0,3.804899,2.169942
19072,1,4,5,2,2.903411,2.596268
17105,1,0,4,2,3.708589,1.655148
11784,1,1,2,0,3.683434,1.391301
13825,0,1,2,0,3.975114,1.709423
4559,0,1,0,2,2.770426,1.404308
4819,1,2,2,2,2.895363,1.457502
9578,0,2,0,0,4.179122,1.7197
1733,0,4,5,2,2.553306,2.175183
14395,1,2,0,2,2.824819,2.194569
5829,1,2,0,0,3.73017,1.626274
9881,1,3,4,0,4.053225,0.547293
6308,0,3,3,2,2.960197,1.79532
13116,0,4,5,0,4.185603,0.794211
14907,0,3,4,0,2.32588,1.910661
15729,1,3,3,0,3.551997,0.724053
13340,1,4,0,0,4.034466,0.731221
3827,0,2,0,0,3.949366,1.580035
8137,0,5,1,0,4.189615,1.074382
8292,1,0,4,0,4.291949,1.135864
8085,1,1,2,0,3.975901,1.059136
2514,0,4,5,0,3.715983,1.470558
19970,1,4,5,0,4.766992,2.038026
16220,1,4,5,2,2.65594,1.961927
9476,0,3,3,0,3.360182,1.208499
7177,1,5,5,0,4.857565,2.70387
15162,1,0,2,0,4.671298,1.199356
5051,1,2,2,0,2.778055,2.08746
2386,0,0,4,2,4.093854,5.474668
19304,1,0,2,1,4.394591,5.135332
8495,0,3,3,2,2.801358,1.677781
6665,1,0,4,0,4.358236,4.985187
10386,0,3,3,0,3.409353,0.457413
10049,1,3,4,0,4.166551,0.54049
14527,1,0,4,2,2.902453,2.266258
16154,0,1,2,2,2.750819,1.886851
9921,1,4,5,0,4.171746,0.547461
8019,0,2,2,0,3.946206,1.927178
10165,0,4,0,0,3.92133,0.503205
6159,1,4,5,2,2.910579,1.880847
19582,0,5,1,0,4.241936,1.48611
12785,1,1,2,2,2.773452,1.701001
18370,1,2,0,2,3.033093,0.871374
6042,0,2,2,0,3.281306,1.760998
10050,0,3,4,0,4.166551,0.54049
5343,1,2,0,0,3.327539,1.064651
9993,1,0,4,0,4.223129,0.547597
13186,0,5,1,0,4.121637,0.812405
11822,0,2,2,0,3.634747,1.381121
8998,0,1,2,2,3.912146,1.91793
10691,1,3,4,0,3.06158,0.561059
11945,1,4,5,2,3.355397,0.74257
2937,0,2,2,1,2.839609,1.754348
77,1,4,5,2,2.17953,1.668865
2342,0,2,5,2,3.998476,4.795118
1239,0,5,5,0,4.823557,1.543209
3143,0,2,0,2,4.034842,2.670994
19502,0,5,5,0,2.925635,0.761583
16924,1,2,2,0,2.891008,2.228742
4658,0,4,5,2,2.816173,1.424281
8152,0,1,2,0,4.235863,1.076459
6485,0,1,2,1,3.099898,3.119571
4674,1,5,5,2,2.830938,1.42646
7161,0,1,4,0,4.916404,2.776273
9858,0,3,3,0,4.301374,2.127247
5553,0,5,1,0,2.929564,1.884835
16626,0,2,0,0,3.894925,0.491085
15696,1,2,0,0,3.626432,0.711776
9211,1,3,3,0,2.752576,2.16241
18134,0,5,1,0,4.103192,1.446592
3461,0,3,4,2,2.725205,1.777034
20129,0,2,2,0,4.772422,2.005814
20088,1,5,5,0,4.761551,1.998437
9161,0,1,2,0,2.795158,2.227769
19936,1,0,2,0,4.689154,2.03059
19710,1,1,2,0,4.10606,1.701301
13943,0,4,5,0,3.673138,1.431351
11943,1,2,0,2,3.355397,0.74257
13271,0,4,5,0,4.046277,0.722001
8667,0,5,1,2,3.303338,3.312988
6471,1,4,5,1,3.11252,3.148919
19028,0,2,0,2,2.919812,2.469876
16623,0,5,1,0,3.894925,0.491085
13419,0,3,4,0,4.161383,1.674564
2340,0,5,1,2,3.998476,4.795118
20275,0,2,0,0,3.436706,1.01567
19835,0,4,0,0,4.125316,1.918018
9587,1,5,1,0,4.194804,1.743069
3523,0,2,0,2,2.608345,1.779412
16046,0,5,5,2,2.334845,1.748436
14446,1,5,1,2,2.837255,2.201476
13535,0,5,5,0,4.123757,1.447156
2920,1,4,5,1,2.84611,1.753954
18933,0,4,0,2,3.750356,0.77384
1800,1,1,2,2,2.545394,2.149846
7870,0,3,4,0,3.844408,2.093558
11070,0,2,2,2,3.515736,3.512509
5120,1,3,4,2,3.982043,1.604791
2990,0,5,5,1,2.837371,1.766266
2666,1,4,0,0,4.106356,1.447709
16232,0,5,5,2,2.644229,1.974473
5899,0,4,5,0,3.407564,1.747133
10303,1,5,5,0,3.449578,0.450155
15889,1,0,2,2,2.372942,2.039545
15486,0,4,5,0,2.769536,1.918719
13071,0,0,4,2,2.587371,1.840735
17245,1,4,5,0,3.613517,0.819615
20413,1,1,0,1,2.952192,2.292711
10454,0,2,2,0,3.454904,0.466905
19749,1,0,4,0,4.094588,1.806324
6236,1,3,4,2,2.958563,1.824945
14330,0,4,0,2,2.660793,1.409774
6193,1,5,5,2,2.929883,1.851213
20583,1,5,5,1,2.924568,2.270934
14982,1,5,5,0,2.276089,1.98779
10519,1,4,5,2,2.553989,1.363723
1990,1,1,2,0,4.144456,0.73677
17751,1,4,0,2,4.028037,1.770513
6567,1,4,5,1,3.037453,2.827514
6203,0,5,5,2,2.929883,1.851213
17154,0,5,5,2,3.703193,1.637364
7098,0,2,0,0,5.01573,2.847781
18352,1,3,4,2,2.994226,0.830684
5150,0,0,2,2,3.781847,1.632071
14373,1,1,0,2,2.813845,2.188783
19829,1,2,2,0,4.125316,1.918018
13871,0,1,2,0,3.738417,1.669055
1200,1,4,5,0,4.801317,1.543012
17401,1,4,5,0,3.416201,0.882636
7084,1,1,2,0,5.034262,2.855894
20347,1,2,0,0,3.514906,1.122794
10735,1,2,0,0,2.988969,0.569526
4223,0,0,2,2,2.26815,1.409241
178,1,4,5,2,2.222417,1.737167
15333,1,0,4,0,4.622827,1.282311
9088,0,5,5,2,4.235203,2.043699
8973,0,4,5,2,3.845663,1.88624
4096,0,5,5,0,4.216627,2.603207
19580,1,0,2,0,4.241936,1.48611
8992,1,5,1,2,3.912146,1.91793
717,0,3,3,2,3.649862,1.980933
4589,0,5,1,2,2.773763,1.407366
9918,0,3,4,0,4.15013,0.547462
3961,0,2,0,0,4.37893,2.291569
19925,0,2,0,0,4.662902,2.033987
4776,0,2,2,2,2.882125,1.447222
1052,1,3,3,2,2.72184,1.990613
2269,0,4,5,0,2.73648,1.588849
5266,0,5,5,2,3.348778,1.717483
5208,1,4,5,2,3.474393,1.671258
13390,0,5,5,0,4.028952,0.76508
18953,0,0,4,2,3.7342,0.776235
20572,0,0,4,1,2.929906,2.292501
11467,0,5,5,0,3.582742,0.681029
14003,0,1,2,0,3.585173,1.432641
16784,1,1,4,0,3.421481,0.479608
3045,1,0,2,2,3.529751,2.422741
7722,0,4,0,2,2.793426,2.070307
15652,0,4,5,0,3.694272,0.726144
15909,1,2,0,2,2.36655,1.986891
17171,1,3,3,2,3.70879,1.621201
14161,0,2,0,2,2.666444,1.328796
8206,1,2,0,0,4.377243,1.07953
16791,0,3,3,0,3.421481,0.479608
11584,1,3,3,0,3.493358,4.474335
10613,1,4,5,2,2.556094,1.45003
5858,0,1,2,0,3.577602,1.678815
14588,1,4,0,2,2.935353,2.324387
1266,0,3,4,0,4.892317,1.486347
14777,1,1,2,1,2.724996,0.889633
3635,0,2,0,0,4.097314,1.51866
2287,1,1,2,0,2.740063,1.594169
17553,0,5,1,2,3.683105,1.676253
14005,0,0,4,0,3.585173,1.432641
8499,1,2,0,2,2.801358,1.677781
16226,1,0,4,2,2.65594,1.961927
1165,0,2,0,0,4.804053,1.50631
9342,0,5,1,0,3.542659,1.171648
6148,1,2,0,2,2.906001,1.890466
12019,1,0,2,0,3.458078,1.039734
19631,0,4,5,0,4.238198,1.55169
13822,0,4,5,0,3.975114,1.709423
4091,0,2,0,0,4.216627,2.603207
9622,1,5,1,0,4.231725,1.801893
14741,1,0,4,1,2.714691,0.885359
7612,0,1,2,2,2.784664,1.8791
17667,1,3,4,2,3.889723,1.736119
1837,0,4,5,2,2.548137,2.151784
19086,0,1,2,2,2.897124,2.628513
20613,1,3,3,1,2.887711,2.040843
19125,0,2,0,2,2.886916,2.683479
4254,1,5,1,2,2.304626,1.461915
6292,1,5,5,2,2.959062,1.803276
2919,1,3,3,1,2.84611,1.753954
2001,1,5,5,0,4.144456,0.73677
7456,0,5,5,0,4.316753,1.471849
14680,1,5,1,1,2.744974,0.952973
10695,1,2,0,0,3.051899,0.562704
18379,1,0,2,2,3.043687,0.884023
17627,0,2,0,2,3.842142,1.724891
9043,0,2,0,2,4.085056,2.001931
6854,1,4,5,2,3.163073,1.047078
4453,0,4,5,2,2.256667,1.731433
20465,0,4,5,1,2.960554,2.408583
6942,0,2,0,0,5.512826,2.56213
2110,1,1,0,0,2.727778,1.532804
956,0,0,4,2,2.66634,2.013221
19679,0,4,5,0,4.222042,1.621381
7923,0,2,0,0,3.931454,2.004104
15234,0,2,0,0,4.71645,1.284094
17033,1,0,4,2,3.744977,1.584707
9436,1,1,2,0,3.402373,1.191376
19644,0,2,0,0,4.241218,1.566621
17986,0,4,5,0,4.55514,1.75626
20005,1,2,0,0,4.78168,2.059815
15343,0,2,5,0,2.798972,2.080441
19138,1,3,4,2,2.885534,2.695473
4097,0,3,4,0,4.216627,2.603207
10554,1,5,5,2,2.561818,1.365131
20424,1,4,5,1,2.954978,2.333212
3694,1,4,5,0,4.124002,1.50824
13252,1,3,4,0,4.053583,0.735926
1182,1,3,4,0,4.810794,1.519423
2775,0,2,0,1,2.775032,1.68071
11478,0,3,4,0,3.685693,4.480427
13242,1,5,5,0,4.053583,0.735926
10900,0,4,0,0,3.227353,0.573932
14935,1,1,2,0,2.29521,1.949899
20351,0,2,0,0,3.514906,1.122794
1240,0,4,5,0,4.823557,1.543209
10676,1,0,2,0,3.063447,0.559626
11925,0,0,4,2,3.370651,0.740797
685,1,1,2,2,3.653175,2.196387
4244,1,1,0,2,2.293496,1.443448
19205,0,0,4,2,2.835529,2.855134
14630,0,3,4,1,2.930071,1.056192
16552,0,2,0,0,4.000174,0.482162
6717,1,1,2,0,4.098571,4.990515
20138,1,2,2,0,4.782222,2.011345
2302,0,1,4,0,2.7453,1.596336
18198,0,5,5,0,3.931354,1.433958
4492,0,5,5,2,2.210586,1.755161
15429,0,0,2,0,2.818784,2.078846
15599,1,3,3,0,2.725602,1.740142
10463,1,0,4,0,3.456543,0.46645
8915,0,1,4,2,3.249042,2.670481
4402,1,2,0,2,2.429338,1.602384
19266,0,4,0,2,2.819414,2.741358
14211,0,5,5,2,2.676213,1.329247
1528,1,2,0,0,3.425174,1.917046
