,suicides_per_100k
20486,8.557254
4021,7.5742793
11892,0.0
13913,11.747846
1907,3.004797
13174,10.309069
6664,26.163591
11807,10.229982
20105,13.608722
1804,0.7598784
16729,9.869631
16236,20.521029
7044,21.80591
17684,15.168083
19657,7.9665666
11962,1.6364684
2040,1.6678957
13072,18.067183
7545,4.1503563
5730,16.050364
20422,8.499508
234,1.6853744
8084,3.6627746
15326,10.535726
13163,10.737779
5417,4.8279657
17632,11.855709
20561,6.9635124
8619,2.056223
17549,7.456266
6098,5.2646437
356,0.0
13747,5.751867
282,0.0
10949,26.214174
6266,7.1920238
19345,27.216663
15120,9.21124
13812,13.165398
6977,27.40919
20348,16.40815
15960,12.786229
4712,6.997512
795,7.7406273
13549,12.762387
3921,6.6296015
9950,7.2418075
3087,4.14661
12420,15.102797
1833,4.216547
11992,0.30160543
176,0.0
17475,8.85387
3434,19.02652
4460,5.0179687
377,2.5087178
4468,5.0179687
20502,7.6310015
14660,1.3742632
17568,12.966174
9524,16.308544
7682,2.47566
9458,12.8016815
8650,1.9987987
18248,18.062166
7290,18.654373
8692,1.9791678
1548,18.855139
15053,17.260862
3867,12.23745
19312,25.613953
16852,22.518175
3415,19.16291
13268,9.922767
10062,5.7936835
7668,2.3556845
13287,8.777728
545,7.2497993
10256,8.663477
2092,0.7413717
14010,12.878772
5780,13.884822
10339,7.2488337
10231,8.439049
4995,16.75806
17659,16.039946
5077,23.730034
3293,5.5471377
4915,20.470467
15885,13.02019
7987,12.605066
13353,11.673317
9033,24.806192
7628,1.7280691
19659,7.9665666
5323,0.11672248
9081,25.102615
12989,0.0
5941,11.318914
18371,4.378357
102,1.9311233
5097,21.852013
14427,3.1448734
8223,3.7103686
12990,0.0
4799,7.0392823
472,0.0
1635,16.109776
16344,7.9614663
9698,13.654268
2694,17.950914
16116,11.655618
4220,2.889983
105,1.9311233
19813,7.44281
19170,11.801336
4659,6.7678137
6091,6.049439
2728,1.2330456
17185,7.97311
12369,13.260691
8411,1.1139331
2754,4.6818123
14962,16.620218
2736,0.5854801
14180,5.714192
7060,20.033117
9691,13.654268
16744,8.275554
14108,4.5696244
14623,0.6274333
602,7.303723
1838,1.209619
16611,9.242268
20586,5.368905
13514,14.538078
12944,5.451308
18813,11.281898
17057,1.051276
2563,21.327765
2688,17.950914
5030,17.913624
9933,5.9956503
16832,26.31005
11875,12.763364
13488,16.195032
12588,9.741247
8182,3.5661082
10248,8.659226
3705,13.106594
433,0.0
11602,18.952063
15799,2.4426184
8158,3.1987653
7131,17.93163
2738,0.5854801
11228,2.0718231
5094,21.852013
13664,13.32243
13691,6.872345
12452,10.571151
4009,7.6122603
8720,2.4598782
10316,7.46238
13521,12.815885
3443,16.614548
2847,6.2462077
8746,2.016955
12527,11.187131
3954,6.394393
4113,12.121661
8922,13.620517
15582,8.217496
17216,7.5295467
14219,5.776474
13642,13.216717
3382,18.372704
9091,23.278196
1130,13.89206
17736,28.568308
7493,4.0892415
14666,1.3742632
15115,9.21124
10503,0.046407264
19485,1.8278272
6502,8.33579
209,0.0
12414,12.05891
15657,0.0
2029,3.2939222
11,1.6651905
18980,9.675953
17349,8.706415
18317,13.21447
4045,11.492554
11527,25.414762
1085,2.6472676
15840,10.070836
3581,10.812684
997,2.0686998
3000,8.129191
215,0.0
8431,0.0
1009,1.9704837
10647,16.93464
14242,5.5212264
18612,6.8640423
6362,12.6592045
16102,12.666191
20387,17.252983
12477,8.056882
152,5.0782766
2193,0.0
19328,28.437443
8738,1.865598
16421,7.287656
18357,6.7528443
18605,6.463862
19770,7.318979
3516,13.26301
9719,12.289937
13669,13.32243
3897,12.168753
12725,3.925434
17998,13.466069
8508,0.0
8750,2.016955
12090,2.8719127
14349,2.78072
9625,12.044592
7688,2.47566
2687,18.002785
14374,2.7186794
13210,9.801616
1186,15.364694
5534,19.755962
11854,7.802001
14880,15.026225
18768,13.122477
3913,6.3455462
14439,3.5839741
18351,6.8511224
14431,3.5839741
4575,5.746925
15293,10.91726
16917,22.892035
15755,2.6967537
16699,10.903016
10905,20.251259
20638,6.313022
9010,6.082873
19392,21.556852
2564,21.327765
9147,25.59298
446,0.0
14088,0.47299558
16058,12.682139
649,9.454978
14273,4.6115108
11705,17.331451
7451,16.024017
4594,6.666241
